### MDS_metrics-bray-species_profiles_pneumonia.csv

"","SampleID","Axis.1","Axis.2","SamplingSite"
"274","Sample440",0.458698596435434,0.420497816947189,"Hospital-C"
"275","Sample441",0.361089049525619,-0.177257753876396,"Hospital-C"
"276","Sample442",-0.0944269404198648,0.0947840147113032,"Hospital-C"
"277","Sample443",0.1292375621608,-0.143224192776445,"Hospital-C"
"278","Sample444",0.443168775808044,0.419361045501552,"Hospital-C"
"279","Sample446",0.232926028325725,-0.444032305034038,"Hospital-C"
"280","Sample448",0.226021488266609,-0.426542532007632,"Hospital-C"
"281","Sample449",0.388861322227389,0.429839162696259,"Hospital-C"
"282","Sample450",-0.481090503537326,0.0869226976974684,"Hospital-C"
"283","Sample451",-0.377908328794384,0.0510322446710525,"Hospital-C"
"284","Sample452",0.118969019613169,-0.139818634834861,"Hospital-C"
"285","Sample453",0.458698260600694,0.419457162881939,"Hospital-C"
"286","Sample454",0.168627544512753,-0.101846938412473,"Hospital-C"
"287","Sample455",0.16367117485083,-0.161089732989477,"Hospital-C"
"288","Sample456",0.133750688853984,-0.149150288858664,"Hospital-C"
"289","Sample457",0.458940225742341,0.420955911791958,"Hospital-C"
"290","Sample458",0.458806299770412,0.421052302902219,"Hospital-C"
"291","Sample459",-0.195524302545324,-0.0248941668075707,"Hospital-C"
"292","Sample460",-0.345114448789762,0.0144126537322179,"Hospital-C"
"293","Sample461",0.0520681750441452,-0.109743677681677,"Hospital-C"
"294","Sample462",0.183306725064253,-0.326038576769449,"Hospital-C"
"295","Sample463",-0.473626972451892,0.0782054502687196,"Hospital-C"
"296","Sample464",-0.47951681467102,0.0866054752062653,"Hospital-C"
"297","Sample465",-0.461681863211384,0.0631029619947168,"Hospital-C"
"298","Sample466",-0.366211122978866,-0.0495055880078934,"Hospital-C"
"299","Sample468",0.192167926617464,-0.419272163356831,"Hospital-C"
"300","Sample470",-0.265197751093211,0.0531796048319908,"Hospital-C"
"301","Sample48",0.386384859220468,0.214472179249434,"Hospital-C"
"302","Sample49",0.240156589958921,-0.440777484619859,"Hospital-C"
"303","Sample5",0.232649647175339,-0.443225709320392,"Hospital-A"
"304","Sample50",0.200797303238608,-0.378267139579689,"Hospital-C"
"305","Sample51",0.235367492043116,-0.479058545109457,"Hospital-C"
"306","Sample52",0.182823059771914,-0.329315214023309,"Hospital-C"
"307","Sample57",-0.480827408069742,0.0864394027901129,"Hospital-C"
"308","Sample58",-0.474060030185152,0.0834926342799783,"Hospital-C"
"309","Sample59",-0.481463834330473,0.0866504985115242,"Hospital-C"
"310","Sample6",0.232148239221604,-0.441531473933512,"Hospital-A"
"311","Sample60",-0.481006732911667,0.0864563886228576,"Hospital-C"
"312","Sample62",-0.472900177132431,0.0968277278291915,"Hospital-C"
"313","Sample63",-0.473410325941445,0.0712832337807066,"Hospital-C"
"314","Sample64",0.189249404530631,-0.344382931836775,"Hospital-C"
"315","Sample65",0.183043440505645,-0.329494729085689,"Hospital-C"
"316","Sample66",0.185873698992027,-0.323647301849996,"Hospital-C"
"317","Sample67",0.259121325816881,-0.191600560151303,"Hospital-C"
"318","Sample69",0.458321388056534,0.420143633084989,"Hospital-C"
"319","Sample7",0.158962728589696,-0.203817606441715,"Hospital-A"
"320","Sample70",-0.369815614833078,0.122754716362017,"Hospital-C"
"321","Sample71",-0.21797967931922,0.0873744707069512,"Hospital-C"
"322","Sample73",0.293481872657106,0.31842801577502,"Hospital-C"
"323","Sample74",0.0954146543268041,0.465004154073897,"Hospital-C"
"324","Sample75",-0.416141396233843,0.149234512500597,"Hospital-C"
"325","Sample77",0.0881779815928539,0.455388094795909,"Hospital-C"
"326","Sample8",0.206895344540372,-0.38824848312421,"Hospital-A"
"327","Sample81",0.435500105115327,0.423396712127435,"Hospital-C"
"328","Sample82",-0.481463834330473,0.0866504985115245,"Hospital-C"
"329","Sample83",0.328170829753684,0.440931932643684,"Hospital-C"
"330","Sample84",-0.481463834330473,0.0866504985115245,"Hospital-C"
"331","Sample85",0.3965660493977,0.313756643930424,"Hospital-C"
"332","Sample86",0.392108957374413,0.198462180053726,"Hospital-C"
"333","Sample87",-0.0713144371471169,-0.261221153407021,"Hospital-C"
"334","Sample89",0.368654181076952,0.370268703808231,"Hospital-C"
"335","Sample9",0.227377557225487,-0.442859210646342,"Hospital-A"
"336","Sample90",0.12668722331159,-0.133097240362224,"Hospital-C"
"337","Sample91",0.122153871760423,0.263215872823587,"Hospital-C"
"338","Sample92",0.316036892342147,0.0944749338662036,"Hospital-C"
"339","Sample93",0.245658171566641,-0.0351196631278181,"Hospital-C"
"340","Sample94",0.433243653885109,0.320392182639149,"Hospital-C"
"341","Sample95",0.458914760717332,0.420980819184044,"Hospital-C"
"342","Sample99",-0.370593505338767,0.224619942502469,"Hospital-C"

